file,ItemId,DisplayName,Description,Category,Tags,MaxStackSize,BuildClass,LevelCount,IsThrowable,IsFurniture,attack_power,MaxDurability,DamagePerHit,SkillRefs
Weapon_A1_chest,weapon_a1_chest,A1 铁宝箱,沉甸甸的宝箱武器，敲击力度一般，损坏后会弹出少量金币。,Weapon,,1,,1,false,false,2.0,1,0,
Weapon_A1_door,weapon_a1_door,A1 门板,坚固的门板，可用于格挡大范围攻击，但极其笨重。,Weapon,,1,,1,false,false,6.0,6,0,WeaponBlockSkill_Door
Weapon_A1_nightstand,weapon_a1_nightstand,A1 床头柜,结实的床头柜，被当成武器挥舞时力度适中，携带会略微拖慢脚步，损坏后可掉出金币。,Weapon,,1,,1,false,false,4.0,1,0,
Weapon_A1_tablelamp,weapon_a1_tablelamp,A1 桌灯,精致的桌灯，既可照明也能在关键时刻眩晕敌人。,Weapon,,1,,1,false,false,4.0,1,0,WeaponStunSkill
Weapon_A2_table,weapon_a2_table,A2 木桌,厚重的木桌，抡起来威力十足，但行动会变得迟缓。,Weapon,,1,,1,false,false,6.0,2,0,
Weapon_Brawl_DiscoBall,Weapon_Brawl_DiscoBall,迪斯科闪光球,仆人类拳套武器：迪斯科闪光球,Weapon,tag_weapon|build_waiter|tag_brawl|hit_2,1,waiter,1,false,false,1.0,,,WeaponSkill_Brawl_DiscoBall
Weapon_Brawl_MechGlove,Weapon_Brawl_MechGlove,机械冲撞臂,机械类拳套武器：机械冲撞臂,Weapon,tag_weapon|build_machine|tag_brawl|hit_3,1,machine,1,false,false,2.0,,,WeaponSkill_Brawl_MechGlove
Weapon_Brawl_RiotBracer,Weapon_Brawl_RiotBracer,镇暴护腕,安保类拳套武器：镇暴护腕,Weapon,tag_weapon|build_guard|tag_brawl|hit_3,1,guard,1,false,false,1.0,,,WeaponSkill_Brawl_RiotBracer
Weapon_Brawl_RiotGlove,Weapon_Brawl_RiotGlove,镇暴拳套,守护类拳套武器：镇暴拳套,Weapon,tag_weapon|build_guard|tag_brawl|hit_2,1,guard,1,false,false,1.0,,,WeaponSkill_Brawl_RiotGlove
Weapon_Slash_Baguette,Weapon_Slash_Baguette,法棍,仆人类挥砍武器：法棍,Weapon,tag_weapon|build_waiter|tag_slash|hit_1,1,waiter,1,false,false,2.0,,,WeaponSkill_Slash_Baguette
Weapon_Slash_BarrierGate,Weapon_Slash_BarrierGate,开刃升降杆,机械类挥砍武器：开刃升降杆,Weapon,tag_weapon|build_machine|tag_slash|hit_1,1,machine,1,false,false,2.0,,,WeaponSkill_Slash_BarrierGate
Weapon_Slash_BunnySword,Weapon_Slash_BunnySword,仿生兔女郎的光剑,仆人类挥砍武器：光剑,Weapon,tag_weapon|build_waiter|tag_slash|hit_1,1,waiter,1,false,false,3.0,,,WeaponSkill_Slash_BunnySword
Weapon_Slash_ExpandBaton,Weapon_Slash_ExpandBaton,甩棍,守护类挥砍武器：甩棍,Weapon,tag_weapon|build_guard|tag_slash|hit_1,1,guard,1,false,false,2.0,,,WeaponSkill_Slash_ExpandBaton
Weapon_Slash_ViolinBow,Weapon_Slash_ViolinBow,音乐家的琴弓,仆人类挥砍武器：音乐家的琴弓,Weapon,tag_weapon|build_waiter|tag_slash|hit_1,1,waiter,1,false,false,2.0,,,WeaponSkill_Slash_ViolinBow
Weapon_Stab_Corkscrew,Weapon_Stab_Corkscrew,开瓶器,仆人类戳刺武器：开瓶器,Weapon,tag_weapon|build_waiter|tag_stab|hit_1,1,waiter,1,false,false,1.0,,,WeaponSkill_Stab_Corkscrew
Weapon_Stab_drill,Weapon_Stab_Drill,钻头,机械类戳刺武器：钻头,Weapon,tag_weapon|build_machine|tag_stab|hit_1,1,machine,1,false,false,4.0,,,WeaponSkill_Stab_Drill
Weapon_Stab_umbrella,Weapon_Stab_Umbrella,雨伞,坚固的战斗雨伞，既可攻击也可格挡。,Weapon,tag_weapon|build_machine|tag_stab|hit_3,1,machine,1,false,false,1.0,,,WeaponSkill_Stab_Umbrella
Weapon_Throw_EmojiBomb,Weapon_Throw_EmojiBomb,emoji炸弹,安保类投掷武器：emoji炸弹,Weapon,tag_weapon|build_guard|tag_throw,1,guard,1,true,false,,,,
Weapon_Throw_GravityGrenade,Weapon_Throw_GravityGrenade,引力手雷,机械类投掷武器：引力手雷,Weapon,tag_weapon|build_machine|tag_throw,1,machine,1,true,false,,,,
Weapon_Throw_MetalSpike,Weapon_Throw_MetalSpike,金属地刺,机械类投掷武器：金属地刺,Weapon,tag_weapon|build_machine|tag_throw,1,machine,1,true,false,,,,
Weapon_Throw_SmokeGrenade,Weapon_Throw_SmokeGrenade,镇暴烟雾弹,安保类投掷武器：镇暴烟雾弹,Weapon,tag_weapon|build_guard|tag_throw,1,guard,1,true,false,,,,
